代码,公告,支付金额(元)
300196.SZ,2019/7/1,"57,574,675.35"
300193.SZ,2019/7/1,"159,055,011.57"
300168.SZ,2019/7/1,"29,984,265.25"
300138.SZ,2019/7/1,"10,611,611.54"
300118.SZ,2019/7/1,"137,566,538.14"
300113.SZ,2019/7/1,"196,434,864.90"
300081.SZ,2019/7/1,"21,044,502.94"
300041.SZ,2019/7/1,"49,603,499.71"
300039.SZ,2019/7/1,"46,191,965.35"
002516.SZ,2019/7/1,"99,288,656.59"
002404.SZ,2019/7/1,
002168.SZ,2019/7/1,"19,648,279.54"
002168.SZ,2019/7/1,"19,648,279.54"
002084.SZ,2019/7/1,"118,723,796.44"
002013.SZ,2019/7/1,"91,614,070.72"
603987.SH,2019/6/29,"33,491,933.98"
603322.SH,2019/6/29,"17,120,000.00"
600641.SH,2019/6/29,"272,749,300.07"
600373.SH,2019/6/29,"127,244,092.21"
600200.SH,2019/6/29,"3,998,584.00"
002879.SZ,2019/6/29,"30,300,202.71"
002520.SZ,2019/6/29,"109,951,188.24"
002308.SZ,2019/6/29,"50,049,815.87"
000976.SZ,2019/6/29,"14,641,473.22"
000157.SZ,2019/6/29,"2,144,813,074.51"
601005.SH,2019/6/28,"62,223,734.00"
600433.SH,2019/6/28,"3,063,040.00"
600143.SH,2019/6/28,
300179.SZ,2019/6/28,
002161.SZ,2019/6/28,"7,793,922.44"
000709.SZ,2019/6/28,"841,813,527.83"
603801.SH,2019/6/27,"59,426,305.88"
300041.SZ,2019/6/27,"49,603,499.71"
000100.SZ,2019/6/27,"1,500,376,190.68"
603737.SH,2019/6/26,
603586.SH,2019/6/26,"35,571,461.37"
300231.SZ,2019/6/26,"107,842,457.37"
002820.SZ,2019/6/26,"50,942,444.36"
002578.SZ,2019/6/26,"109,962,736.72"
002312.SZ,2019/6/26,"50,003,143.10"
002044.SZ,2019/6/26,"199,925,622.98"
002002.SZ,2019/6/26,"100,270,314.73"
000718.SZ,2019/6/25,"714,697,038.72"
000423.SZ,2019/6/25,"30,227,067.64"
300447.SZ,2019/6/24,"38,441,947.01"
300438.SZ,2019/6/24,"27,621,650.95"
603157.SH,2019/6/22,
001979.SZ,2019/6/22,"3,999,999,476.59"
000157.SZ,2019/6/22,"1,694,939,561.12"
601126.SH,2019/6/21,
600487.SH,2019/6/21,"24,940,612.76"
603801.SH,2019/6/20,"10,484,558.00"
603636.SH,2019/6/20,
603001.SH,2019/6/20,"130,512,200.00"
600261.SH,2019/6/20,"18,132,075.00"
300232.SZ,2019/6/20,"2,075,820.60"
300193.SZ,2019/6/20,"113,863,896.23"
300114.SZ,2019/6/20,"2,880,528.73"
002559.SZ,2019/6/20,"68,343,114.71"
002550.SZ,2019/6/20,"7,121,769.58"
603586.SH,2019/6/19,"7,551,357.05"
603045.SH,2019/6/19,
601318.SH,2019/6/19,"281,825,094.66"
601208.SH,2019/6/19,"52,875,603.04"
600963.SH,2019/6/19,"7,174,200.00"
600705.SH,2019/6/19,"998,998,300.21"
600433.SH,2019/6/19,
600185.SH,2019/6/19,"1,461,600.00"
600136.SH,2019/6/19,
300308.SZ,2019/6/19,
300233.SZ,2019/6/19,
002831.SZ,2019/6/19,
002369.SZ,2019/6/19,"52,592,720.55"
002168.SZ,2019/6/19,"1,969,000.00"
002044.SZ,2019/6/19,"153,401,057.74"
000100.SZ,2019/6/19,"1,427,117,901.21"
603858.SH,2019/6/18,"933,998,879.11"
603579.SH,2019/6/18,"40,229,956.81"
600398.SH,2019/6/18,"667,221,114.10"
600337.SH,2019/6/18,"485,617,617.74"
300625.SZ,2019/6/18,"54,932,987.52"
300119.SZ,2019/6/18,"100,450,824.58"
002906.SZ,2019/6/18,"1,220,536.00"
002557.SZ,2019/6/18,"4,291,885.00"
002413.SZ,2019/6/18,"145,025,563.06"
002206.SZ,2019/6/18,"248,823,290.95"
002570.SZ,2019/6/17,"2,014,554.00"
603801.SH,2019/6/15,"966,692.80"
300740.SZ,2019/6/15,"78,352,815.03"
002669.SZ,2019/6/15,"1,855,346.80"
002145.SZ,2019/6/15,"69,218,361.94"
603777.SH,2019/6/14,"36,588,600.00"
600366.SH,2019/6/14,"111,563,824.55"
600252.SH,2019/6/14,"10,372,859.00"
600185.SH,2019/6/14,"233,057,300.00"
600185.SH,2019/6/14,
600067.SH,2019/6/14,"499,899,315.92"
300447.SZ,2019/6/14,"6,152,081.10"
002832.SZ,2019/6/14,"90,981,875.33"
002634.SZ,2019/6/14,"1,929,630.56"
002605.SZ,2019/6/14,"4,998,869.44"
002236.SZ,2019/6/14,"49,993,129.50"
601005.SH,2019/6/13,"4,728,509.00"
600661.SH,2019/6/13,"189,666,816.70"
600067.SH,2019/6/13,"481,379,046.32"
002925.SZ,2019/6/13,"6,609,229.58"
002578.SZ,2019/6/13,"72,509,276.26"
603611.SH,2019/6/12,"106,687,408.54"
600986.SH,2019/6/12,"50,003,225.27"
600693.SH,2019/6/12,"51,968,450.66"
600482.SH,2019/6/12,"403,047,203.18"
600177.SH,2019/6/12,"32,714,207.24"
600143.SH,2019/6/12,"409,795,360.59"
002906.SZ,2019/6/12,
002156.SZ,2019/6/12,"9,978,771.00"
000667.SZ,2019/6/12,"198,110,138.00"
000157.SZ,2019/6/12,"1,273,646,114.81"
603879.SH,2019/6/11,"30,396,555.27"
603699.SH,2019/6/11,"84,986,000.99"
600261.SH,2019/6/11,
300740.SZ,2019/6/11,"39,925,753.63"
300041.SZ,2019/6/11,"4,791,803.00"
002925.SZ,2019/6/11,
002626.SZ,2019/6/11,"22,523,193.63"
002203.SZ,2019/6/11,"294,211,112.40"
300400.SZ,2019/6/10,"88,190,178.60"
002390.SZ,2019/6/10,"274,969,541.58"
002168.SZ,2019/6/10,
600177.SH,2019/6/7,
600090.SH,2019/6/7,"991,900.00"
000967.SZ,2019/6/7,"6,757,986.05"
603801.SH,2019/6/6,"50,606,968.64"
600986.SH,2019/6/6,"50,003,225.27"
600487.SH,2019/6/6,
600067.SH,2019/6/6,"299,926,261.01"
300527.SZ,2019/6/6,"53,005,107.65"
002699.SZ,2019/6/6,
002531.SZ,2019/6/6,"2,027,356.00"
002261.SZ,2019/6/6,
002044.SZ,2019/6/6,"104,249,003.80"
000671.SZ,2019/6/6,"143,913,944.17"
603879.SH,2019/6/5,"30,396,555.27"
603798.SH,2019/6/5,
603157.SH,2019/6/5,
603128.SH,2019/6/5,"126,672,922.34"
603017.SH,2019/6/5,"30,166,185.00"
601208.SH,2019/6/5,"47,985,801.04"
601137.SH,2019/6/5,"100,186,428.40"
600811.SH,2019/6/5,"18,923,000.00"
600797.SH,2019/6/5,"52,606,692.97"
600611.SH,2019/6/5,
600567.SH,2019/6/5,"219,962,514.85"
600482.SH,2019/6/5,"380,910,872.15"
600478.SH,2019/6/5,"24,222,067.15"
600293.SH,2019/6/5,"9,993,556.17"
600285.SH,2019/6/5,"50,011,167.23"
600280.SH,2019/6/5,"18,695,840.40"
600200.SH,2019/6/5,
600079.SH,2019/6/5,
600067.SH,2019/6/5,"249,650,128.77"
600067.SH,2019/6/5,"196,194,327.23"
600031.SH,2019/6/5,
600031.SH,2019/6/5,"215,080,408.66"
300740.SZ,2019/6/5,"8,778,087.05"
300418.SZ,2019/6/5,"239,776,929.26"
300279.SZ,2019/6/5,"29,993,739.40"
300263.SZ,2019/6/5,"51,890,418.51"
300204.SZ,2019/6/5,"74,970,921.11"
300130.SZ,2019/6/5,"29,101,743.68"
300087.SZ,2019/6/5,"57,603,253.66"
300053.SZ,2019/6/5,"20,650,962.00"
300041.SZ,2019/6/5,
002861.SZ,2019/6/5,"69,699,188.00"
002858.SZ,2019/6/5,"4,999,073.00"
002852.SZ,2019/6/5,"97,402,897.56"
002845.SZ,2019/6/5,"9,997,115.00"
002751.SZ,2019/6/5,"14,978,179.00"
002747.SZ,2019/6/5,
002747.SZ,2019/6/5,"4,792,924.00"
002733.SZ,2019/6/5,"9,997,262.00"
002719.SZ,2019/6/5,"99,933,166.00"
002665.SZ,2019/6/5,"41,599,885.26"
002611.SZ,2019/6/5,"136,931,300.00"
002602.SZ,2019/6/5,"1,080,061,480.62"
002589.SZ,2019/6/5,"60,399,950.80"
002564.SZ,2019/6/5,"46,337,324.76"
002540.SZ,2019/6/5,"84,882,838.54"
002488.SZ,2019/6/5,"3,001,648.00"
002488.SZ,2019/6/5,
002479.SZ,2019/6/5,"4,999,039.50"
002439.SZ,2019/6/5,"99,981,018.68"
002367.SZ,2019/6/5,"29,691,098.22"
002339.SZ,2019/6/5,
002312.SZ,2019/6/5,"50,003,143.10"
002242.SZ,2019/6/5,
002203.SZ,2019/6/5,"294,211,112.40"
002156.SZ,2019/6/5,
002126.SZ,2019/6/5,"49,976,420.06"
002123.SZ,2019/6/5,"106,587,519.86"
002121.SZ,2019/6/5,
002104.SZ,2019/6/5,"50,012,073.01"
002047.SZ,2019/6/5,
002020.SZ,2019/6/5,"373,211,940.00"
002013.SZ,2019/6/5,"27,424,781.13"
002002.SZ,2019/6/5,"40,068,985.35"
000976.SZ,2019/6/5,"14,641,473.22"
000887.SZ,2019/6/5,"82,436,167.58"
000826.SZ,2019/6/5,"4,998,934.71"
000718.SZ,2019/6/5,"634,859,689.51"
000598.SZ,2019/6/5,"47,850,758.46"
000415.SZ,2019/6/5,"9,979,804.55"
000008.SZ,2019/6/5,"17,796,060.00"
603987.SH,2019/6/4,"14,996,455.20"
603901.SH,2019/6/4,"46,036,272.11"
603869.SH,2019/6/4,"53,974,357.74"
603858.SH,2019/6/4,"849,286,785.82"
603839.SH,2019/6/4,"62,836,454.70"
603819.SH,2019/6/4,"29,103,198.32"
603788.SH,2019/6/4,"43,326,676.08"
603779.SH,2019/6/4,"6,799,815.00"
603777.SH,2019/6/4,"29,061,000.00"
603727.SH,2019/6/4,"75,836,396.93"
603699.SH,2019/6/4,"78,804,970.55"
603611.SH,2019/6/4,"83,980,683.79"
603579.SH,2019/6/4,"13,216,478.54"
603377.SH,2019/6/4,"119,967,262.42"
603322.SH,2019/6/4,"17,120,000.00"
603303.SH,2019/6/4,"131,859,466.44"
603158.SH,2019/6/4,"71,434,427.34"
603129.SH,2019/6/4,"58,441,269.50"
603116.SH,2019/6/4,"90,813,101.13"
603001.SH,2019/6/4,"129,027,900.00"
601669.SH,2019/6/4,"299,752,680.69"
601666.SH,2019/6/4,"116,653,214.80"
601579.SH,2019/6/4,"7,925,587.10"
601318.SH,2019/6/4,
601231.SH,2019/6/4,"2,809,587.00"
600887.SH,2019/6/4,"1,984,596,014.40"
600873.SH,2019/6/4,"19,893,200.00"
600738.SH,2019/6/4,"29,867,011.42"
600693.SH,2019/6/4,"32,274,095.00"
600681.SH,2019/6/4,"111,247,165.00"
600673.SH,2019/6/4,"399,708,600.00"
600661.SH,2019/6/4,"160,256,216.96"
600641.SH,2019/6/4,"265,671,231.07"
600588.SH,2019/6/4,"469,077,017.85"
600572.SH,2019/6/4,"585,149,682.93"
600530.SH,2019/6/4,
600522.SH,2019/6/4,"412,235,376.55"
600469.SH,2019/6/4,"30,670,240.90"
600410.SH,2019/6/4,"14,997,032.58"
600373.SH,2019/6/4,"127,244,092.21"
600366.SH,2019/6/4,"111,563,824.55"
600346.SH,2019/6/4,"1,224,273,744.16"
600337.SH,2019/6/4,"464,739,206.74"
600300.SH,2019/6/4,"128,991,642.00"
600273.SH,2019/6/4,"296,226,710.95"
600232.SH,2019/6/4,"37,170,000.00"
600222.SH,2019/6/4,"105,260,846.66"
600211.SH,2019/6/4,"70,261,627.56"
600208.SH,2019/6/4,"416,026,900.00"
600201.SH,2019/6/4,
600197.SH,2019/6/4,"48,878,156.43"
600190.SH,2019/6/4,"36,111,222.57"
600187.SH,2019/6/4,"93,903,188.26"
600185.SH,2019/6/4,"200,743,100.00"
600166.SH,2019/6/4,"199,892,282.30"
600160.SH,2019/6/4,"36,299,500.00"
600155.SH,2019/6/4,"370,553,813.65"
600143.SH,2019/6/4,"379,797,020.30"
600114.SH,2019/6/4,"167,672,600.00"
600055.SH,2019/6/4,"14,666,800.00"
600052.SH,2019/6/4,
300740.SZ,2019/6/4,
300736.SZ,2019/6/4,"5,666,703.00"
300689.SZ,2019/6/4,"507,125.00"
300689.SZ,2019/6/4,
300625.SZ,2019/6/4,"54,923,271.52"
300611.SZ,2019/6/4,"2,927,708.00"
300527.SZ,2019/6/4,"44,084,932.19"
300459.SZ,2019/6/4,"75,987,277.05"
300452.SZ,2019/6/4,"3,099,911.19"
300417.SZ,2019/6/4,"46,000,018.38"
300417.SZ,2019/6/4,"46,208,188.38"
300416.SZ,2019/6/4,"64,440,121.12"
300415.SZ,2019/6/4,"33,713,310.21"
300400.SZ,2019/6/4,"83,358,755.60"
300378.SZ,2019/6/4,"19,992,192.00"
300373.SZ,2019/6/4,"29,741,997.00"
300360.SZ,2019/6/4,"48,434,387.64"
300315.SZ,2019/6/4,"99,604,635.35"
300305.SZ,2019/6/4,"78,487,300.00"
300296.SZ,2019/6/4,"172,793,817.28"
300289.SZ,2019/6/4,"19,369,745.68"
300259.SZ,2019/6/4,"11,021,946.72"
300237.SZ,2019/6/4,"38,985,200.00"
300234.SZ,2019/6/4,"89,134,119.57"
300224.SZ,2019/6/4,"69,238,313.08"
300214.SZ,2019/6/4,"6,313,792.00"
300206.SZ,2019/6/4,"19,998,072.85"
300199.SZ,2019/6/4,"272,953,349.91"
300151.SZ,2019/6/4,"1,124,700.00"
300119.SZ,2019/6/4,"83,454,039.58"
300114.SZ,2019/6/4,
300113.SZ,2019/6/4,"191,734,461.90"
300097.SZ,2019/6/4,"155,500,598.83"
300067.SZ,2019/6/4,"26,951,063.50"
300039.SZ,2019/6/4,"35,182,783.88"
300026.SZ,2019/6/4,"117,128,539.50"
300017.SZ,2019/6/4,"65,005,110.61"
300003.SZ,2019/6/4,"231,201,400.00"
002879.SZ,2019/6/4,"10,510,092.46"
002832.SZ,2019/6/4,"77,409,927.33"
002820.SZ,2019/6/4,"50,021,622.36"
002802.SZ,2019/6/4,"17,762,962.54"
002772.SZ,2019/6/4,"10,767,843.00"
002733.SZ,2019/6/4,"4,995,255.00"
002712.SZ,2019/6/4,"63,261,275.55"
002675.SZ,2019/6/4,
002669.SZ,2019/6/4,
002658.SZ,2019/6/4,"75,939,758.83"
002626.SZ,2019/6/4,"22,523,193.63"
002624.SZ,2019/6/4,"521,728,971.00"
002619.SZ,2019/6/4,"12,500,513.20"
002614.SZ,2019/6/4,"52,884,200.00"
002605.SZ,2019/6/4,
002603.SZ,2019/6/4,"98,921,930.27"
002597.SZ,2019/6/4,"65,625,499.34"
002593.SZ,2019/6/4,"15,994,981.00"
002591.SZ,2019/6/4,"6,955,746.96"
002587.SZ,2019/6/4,"30,922,471.83"
002582.SZ,2019/6/4,"116,168,069.20"
002572.SZ,2019/6/4,"202,178,530.09"
002568.SZ,2019/6/4,"12,913,220.50"
002562.SZ,2019/6/4,"29,997,182.48"
002559.SZ,2019/6/4,"39,049,665.53"
002558.SZ,2019/6/4,"783,919,708.85"
002557.SZ,2019/6/4,
002555.SZ,2019/6/4,"301,961,944.30"
002537.SZ,2019/6/4,"118,862,811.22"
002531.SZ,2019/6/4,
002520.SZ,2019/6/4,"109,951,188.24"
002515.SZ,2019/6/4,"171,409,894.81"
002485.SZ,2019/6/4,
002457.SZ,2019/6/4,"44,152,116.05"
002448.SZ,2019/6/4,"88,186,163.23"
002422.SZ,2019/6/4,"85,459,333.23"
002413.SZ,2019/6/4,"145,025,563.06"
002408.SZ,2019/6/4,"4,493,593.00"
002397.SZ,2019/6/4,"49,917,798.97"
002390.SZ,2019/6/4,"259,980,133.58"
002388.SZ,2019/6/4,"9,999,922.31"
002365.SZ,2019/6/4,"23,075,103.95"
002361.SZ,2019/6/4,"46,328,096.13"
002355.SZ,2019/6/4,"30,184,780.52"
002350.SZ,2019/6/4,"65,224,473.45"
002327.SZ,2019/6/4,"153,869,906.85"
002322.SZ,2019/6/4,"51,555,130.18"
002308.SZ,2019/6/4,"29,999,484.26"
002301.SZ,2019/6/4,"106,441,869.58"
002279.SZ,2019/6/4,"32,993,801.68"
002275.SZ,2019/6/4,"105,254,025.77"
002271.SZ,2019/6/4,"351,510,210.88"
002229.SZ,2019/6/4,"8,858,611.29"
002221.SZ,2019/6/4,"428,121,575.91"
002215.SZ,2019/6/4,"100,951,631.10"
002206.SZ,2019/6/4,"206,315,474.27"
002197.SZ,2019/6/4,"27,891,403.45"
002194.SZ,2019/6/4,"39,197,729.18"
002179.SZ,2019/6/4,"11,776,930.10"
002169.SZ,2019/6/4,"90,029,821.00"
002148.SZ,2019/6/4,"53,490,951.86"
002145.SZ,2019/6/4,"29,963,338.00"
002138.SZ,2019/6/4,"139,834,290.06"
002132.SZ,2019/6/4,"117,922,595.09"
002131.SZ,2019/6/4,
002127.SZ,2019/6/4,"151,655,831.53"
002111.SZ,2019/6/4,"66,401,256.01"
002089.SZ,2019/6/4,"9,998,502.60"
002085.SZ,2019/6/4,"188,495,197.85"
002083.SZ,2019/6/4,"141,736,700.00"
002050.SZ,2019/6/4,"216,071,047.48"
002024.SZ,2019/6/4,"716,580,300.00"
002014.SZ,2019/6/4,"52,347,937.36"
000998.SZ,2019/6/4,"219,977,935.81"
000990.SZ,2019/6/4,"455,007,801.64"
000989.SZ,2019/6/4,"356,279,964.38"
000975.SZ,2019/6/4,"218,818,077.30"
000960.SZ,2019/6/4,"114,018,714.92"
000903.SZ,2019/6/4,"100,005,627.18"
000902.SZ,2019/6/4,"132,640,583.17"
000889.SZ,2019/6/4,"14,419,071.98"
000876.SZ,2019/6/4,"558,370,676.90"
000861.SZ,2019/6/4,"5,002,838.68"
000720.SZ,2019/6/4,"21,398,319.99"
000667.SZ,2019/6/4,"178,837,398.00"
000615.SZ,2019/6/4,"75,988,285.81"
000540.SZ,2019/6/4,"58,299,100.45"
000516.SZ,2019/6/4,"199,927,126.77"
000426.SZ,2019/6/4,"199,875,800.00"
000333.SZ,2019/6/4,"1,992,451,807.06"
000158.SZ,2019/6/4,"150,013,293.83"
000100.SZ,2019/6/4,"1,228,545,652.74"
000056.SZ,2019/6/4,"4,999,469.04"
601636.SH,2019/6/3,"230,323,300.00"
600705.SH,2019/6/3,"942,919,918.53"
600510.SH,2019/6/3,"139,834,649.75"
300723.SZ,2019/6/3,"1,011,984.00"
300665.SZ,2019/6/3,"16,979,000.00"
300617.SZ,2019/6/3,"50,498,174.11"
300497.SZ,2019/6/3,"86,174,278.20"
300482.SZ,2019/6/3,"18,747,096.63"
300469.SZ,2019/6/3,"14,997,799.42"
300448.SZ,2019/6/3,"39,989,292.82"
300438.SZ,2019/6/3,"22,642,660.69"
300396.SZ,2019/6/3,"25,094,447.40"
300393.SZ,2019/6/3,"99,604,690.29"
300326.SZ,2019/6/3,"84,999,200.44"
300297.SZ,2019/6/3,
300252.SZ,2019/6/3,"6,741,000.00"
300232.SZ,2019/6/3,
300231.SZ,2019/6/3,"93,261,347.85"
300221.SZ,2019/6/3,"15,465,686.99"
300207.SZ,2019/6/3,"6,310,121.00"
300203.SZ,2019/6/3,"161,972,758.79"
300196.SZ,2019/6/3,"57,574,675.35"
300193.SZ,2019/6/3,"80,880,331.87"
300138.SZ,2019/6/3,"10,611,611.54"
300118.SZ,2019/6/3,"130,201,571.56"
300081.SZ,2019/6/3,"21,044,502.94"
300031.SZ,2019/6/3,"152,058,788.00"
002900.SZ,2019/6/3,"64,315,223.74"
002873.SZ,2019/6/3,"25,498,647.29"
002503.SZ,2019/6/3,"116,034,054.45"
002444.SZ,2019/6/3,"105,492,690.23"
000688.SZ,2019/6/3,"310,001,960.48"
000582.SZ,2019/6/3,"64,430,836.73"
000538.SZ,2019/6/3,"4,597,415.00"
000030.SZ,2019/6/3,"304,940,991.63"
603716.SH,2019/6/1,"57,999,151.36"
603181.SH,2019/6/1,"10,786,457.20"
603003.SH,2019/6/1,"100,005,575.44"
600887.SH,2019/6/1,"1,904,561,103.59"
600771.SH,2019/6/1,"29,409,714.91"
600398.SH,2019/6/1,"568,447,269.46"
600372.SH,2019/6/1,"30,502,935.25"
300168.SZ,2019/6/1,"29,984,265.25"
002610.SZ,2019/6/1,
002599.SZ,2019/6/1,"90,766,201.44"
002578.SZ,2019/6/1,"55,127,877.00"
002519.SZ,2019/6/1,"37,620,876.33"
002516.SZ,2019/6/1,"97,488,838.59"
002369.SZ,2019/6/1,"34,388,972.35"
002084.SZ,2019/6/1,"118,477,798.44"
001979.SZ,2019/6/1,"3,617,274,303.83"
000863.SZ,2019/6/1,"101,894,775.33"
000709.SZ,2019/6/1,"637,139,072.38"
000672.SZ,2019/6/1,"174,010,797.50"
000157.SZ,2019/6/1,"863,272,548.93"
603378.SH,2019/5/31,"35,006,800.00"
601966.SH,2019/5/31,"362,128,834.00"
601666.SH,2019/5/31,"108,835,489.80"
601218.SH,2019/5/31,"50,099,755.56"
601005.SH,2019/5/31,
300609.SZ,2019/5/31,"32,098,779.44"
002570.SZ,2019/5/31,
002408.SZ,2019/5/31,"4,493,593.00"
002347.SZ,2019/5/31,"10,000,166.77"
002206.SZ,2019/5/31,"201,624,674.27"
601636.SH,2019/5/30,"226,237,800.00"
601231.SH,2019/5/30,"628,826.00"
600352.SH,2019/5/30,"680,933,280.54"
300184.SZ,2019/5/30,"29,995,369.80"
300113.SZ,2019/5/30,"191,734,461.90"
002669.SZ,2019/5/30,
002537.SZ,2019/5/30,"115,295,047.94"
600803.SH,2019/5/29,"199,582,111.40"
600031.SH,2019/5/29,
300005.SZ,2019/5/29,"31,119,590.58"
002602.SZ,2019/5/29,"1,074,683,116.86"
002488.SZ,2019/5/29,
603630.SH,2019/5/28,"43,723,565.72"
603129.SH,2019/5/28,"55,504,614.50"
600216.SH,2019/5/28,"59,976,676.48"
600166.SH,2019/5/28,"162,418,802.30"
002578.SZ,2019/5/28,"35,424,077.80"
002494.SZ,2019/5/28,"50,003,856.10"
300522.SZ,2019/5/27,"49,999,462.82"
603558.SH,2019/5/25,"160,019,629.65"
600252.SH,2019/5/25,
300740.SZ,2019/5/25,
300305.SZ,2019/5/25,"67,645,600.00"
300054.SZ,2019/5/25,"302,976,028.42"
002531.SZ,2019/5/25,
002084.SZ,2019/5/25,"118,477,798.44"
000925.SZ,2019/5/25,"25,998,117.58"
603788.SH,2019/5/24,"37,810,581.73"
300723.SZ,2019/5/24,"1,011,984.00"
300039.SZ,2019/5/24,"35,182,783.88"
002798.SZ,2019/5/24,"99,905,400.00"
002772.SZ,2019/5/24,"930,656.00"
000157.SZ,2019/5/24,"474,394,172.44"
600693.SH,2019/5/23,"3,976,679.00"
600586.SH,2019/5/23,"101,959,571.39"
600208.SH,2019/5/23,"340,329,300.00"
300522.SZ,2019/5/23,"43,071,391.22"
300151.SZ,2019/5/23,"1,124,700.00"
000718.SZ,2019/5/23,"610,713,890.97"
000683.SZ,2019/5/23,"719,928,122.20"
603839.SH,2019/5/22,"50,074,416.08"
600661.SH,2019/5/22,"126,196,247.50"
600211.SH,2019/5/22,"62,839,003.86"
300184.SZ,2019/5/22,"5,875,455.60"
002687.SZ,2019/5/22,"32,633,750.32"
002557.SZ,2019/5/22,
002494.SZ,2019/5/22,"46,960,760.00"
002085.SZ,2019/5/22,"167,304,272.89"
000821.SZ,2019/5/22,"150,016,777.40"
603858.SH,2019/5/21,"723,670,651.46"
603167.SH,2019/5/21,"199,897,332.97"
600787.SH,2019/5/21,"171,445,400.00"
600718.SH,2019/5/21,"453,429,094.28"
600226.SH,2019/5/21,"50,058,593.07"
600160.SH,2019/5/21,
300723.SZ,2019/5/21,
300193.SZ,2019/5/21,"72,782,894.00"
300019.SZ,2019/5/21,"21,510,733.96"
000030.SZ,2019/5/21,"287,852,914.57"
300497.SZ,2019/5/20,"84,707,556.20"
000688.SZ,2019/5/20,"273,108,673.00"
603611.SH,2019/5/18,"59,339,002.00"
600963.SH,2019/5/18,
600468.SH,2019/5/18,"191,068,331.04"
600398.SH,2019/5/18,"426,902,319.63"
600114.SH,2019/5/18,"167,672,600.00"
300049.SZ,2019/5/18,"66,987,539.59"
002578.SZ,2019/5/18,"4,527,906.00"
002537.SZ,2019/5/18,"2,037,369.00"
002169.SZ,2019/5/18,"84,799,242.00"
002139.SZ,2019/5/18,"59,999,968.88"
000157.SZ,2019/5/18,"115,594,328.10"
601866.SH,2019/5/17,"233,364,954.00"
601126.SH,2019/5/17,"49,999,897.79"
300522.SZ,2019/5/17,"22,769,028.00"
002879.SZ,2019/5/17,"1,990,260.85"
002597.SZ,2019/5/17,"3,836,264.00"
002044.SZ,2019/5/17,"109,995,765.02"
002027.SZ,2019/5/17,"1,529,888,900.00"
603987.SH,2019/5/16,"932,939.00"
603611.SH,2019/5/16,"7,994,087.00"
603556.SH,2019/5/16,"130,389,400.00"
603203.SH,2019/5/16,"20,005,071.70"
600567.SH,2019/5/16,"169,963,393.61"
600438.SH,2019/5/16,
002661.SZ,2019/5/16,"19,011,260.22"
002578.SZ,2019/5/16,
002455.SZ,2019/5/16,"65,006,867.30"
002206.SZ,2019/5/16,"153,314,139.96"
000709.SZ,2019/5/16,"332,633,541.67"
603520.SH,2019/5/15,"7,127,066.20"
603110.SH,2019/5/15,"16,831,544.00"
601231.SH,2019/5/15,
600586.SH,2019/5/15,"101,525,999.90"
600114.SH,2019/5/15,"123,665,200.00"
300378.SZ,2019/5/15,"4,877,604.00"
300326.SZ,2019/5/15,"76,850,817.39"
300232.SZ,2019/5/15,
300114.SZ,2019/5/15,
002798.SZ,2019/5/15,"6,378,170.00"
002772.SZ,2019/5/15,
002537.SZ,2019/5/15,
002429.SZ,2019/5/15,"97,974,547.41"
002242.SZ,2019/5/15,
002056.SZ,2019/5/15,"150,004,365.78"
002047.SZ,2019/5/15,"90,023,021.66"
000826.SZ,2019/5/15,"4,998,934.71"
000157.SZ,2019/5/15,
603558.SH,2019/5/14,"153,247,422.41"
600611.SH,2019/5/14,
300452.SZ,2019/5/14,"418,950.00"
300440.SZ,2019/5/14,"40,014,284.00"
300339.SZ,2019/5/14,"162,744,801.00"
002597.SZ,2019/5/14,
002564.SZ,2019/5/14,"46,337,324.76"
002261.SZ,2019/5/14,
002132.SZ,2019/5/14,"117,922,595.09"
002131.SZ,2019/5/14,
000709.SZ,2019/5/14,"267,830,483.85"
000100.SZ,2019/5/14,"954,527,004.21"
300452.SZ,2019/5/13,
300195.SZ,2019/5/13,"115,113,619.61"
603727.SH,2019/5/11,"68,718,155.31"
603378.SH,2019/5/11,"1,193,591.00"
300625.SZ,2019/5/11,"44,630,009.52"
002852.SZ,2019/5/11,"94,849,224.96"
002832.SZ,2019/5/11,"67,747,430.33"
002798.SZ,2019/5/11,
002236.SZ,2019/5/11,
000863.SZ,2019/5/11,"67,399,299.00"
601966.SH,2019/5/10,"192,747,121.00"
601579.SH,2019/5/10,"4,882,043.40"
600567.SH,2019/5/10,"49,991,459.75"
600222.SH,2019/5/10,"105,260,846.66"
300689.SZ,2019/5/10,
300665.SZ,2019/5/10,"12,290,200.00"
300041.SZ,2019/5/10,"50,007,193.59"
002699.SZ,2019/5/10,
002139.SZ,2019/5/10,"40,156,623.91"
002084.SZ,2019/5/10,"93,495,344.68"
603788.SH,2019/5/9,"3,548,917.74"
603303.SH,2019/5/9,"115,469,121.18"
600410.SH,2019/5/9,"14,997,032.58"
600114.SH,2019/5/9,"117,830,800.00"
600067.SH,2019/5/9,"148,705,950.70"
300721.SZ,2019/5/9,"15,113,792.17"
300054.SZ,2019/5/9,"302,976,028.42"
002852.SZ,2019/5/9,"64,952,732.43"
002589.SZ,2019/5/9,"9,057,791.50"
002589.SZ,2019/5/9,
002413.SZ,2019/5/9,"139,332,667.17"
000671.SZ,2019/5/9,"103,490,156.75"
603879.SH,2019/5/8,"30,396,555.27"
