,index,code,time,money,year
762,6080,002027.SZ,2018/9/4,30502359,2018
773,2215,002027.SZ,2019/5/17,1529888900,2019
780,6856,002032.SZ,2017/11/7,17790200,2017
781,6848,002032.SZ,2017/11/29,164618300,2017
800,4849,002035.SZ,2018/12/13,6706450,2018
804,4152,002035.SZ,2019/1/26,199939270,2019
806,5899,002036.SZ,2018/9/27,1006587,2018
813,3187,002036.SZ,2019/3/13,50007214.85,2019
815,5301,002042.SZ,2018/11/22,12987834.42,2018
822,3341,002042.SZ,2019/3/5,299105839.7,2019
824,3129,002042.SZ,2019/3/23,58528948.76,2019
829,6723,002043.SZ,2018/3/17,33495342.12,2018
835,6395,002043.SZ,2018/7/9,266504641.1,2018
837,6122,002043.SZ,2018/9/1,5013922,2018
845,4094,002043.SZ,2019/2/1,169728300,2019
847,4798,002044.SZ,2018/12/19,12245137.2,2018
866,185,002044.SZ,2019/10/23,300010033.1,2019
869,6476,002047.SZ,2018/6/23,20771263,2018
877,3960,002047.SZ,2019/2/2,60027043.26,2019
879,3528,002047.SZ,2019/3/2,60027043.26,2019
881,3128,002047.SZ,2019/3/23,30009531.54,2019
884,2242,002047.SZ,2019/5/15,60013490.12,2019
891,4688,002050.SZ,2018/12/28,13214106.08,2018
902,4704,002056.SZ,2018/12/27,17970705,2018
908,2241,002056.SZ,2019/5/15,150004365.8,2019
911,866,002073.SZ,2019/8/31,4998754,2019
916,6191,002074.SZ,2018/8/10,16936793.82,2018
922,4212,002074.SZ,2019/1/18,199966912.2,2019
924,5904,002083.SZ,2018/9/26,9197500,2018
940,533,002083.SZ,2019/9/17,162643000,2019
942,4676,002084.SZ,2018/12/29,606533,2018
959,4263,002085.SZ,2019/1/11,29985328.72,2019
971,5954,002089.SZ,2018/9/13,2308121,2018
983,914,002089.SZ,2019/8/20,9998502.6,2019
985,6579,002099.SZ,2018/5/17,7785869,2018
999,3645,002099.SZ,2019/2/26,301511513.9,2019
1001,5300,002100.SZ,2018/11/22,12982316,2018
1007,2671,002100.SZ,2019/4/25,29983499.44,2019
1009,6893,002102.SZ,2017/9/11,2612271.78,2017
1018,6511,002103.SZ,2018/6/8,7800601.71,2018
1026,5203,002103.SZ,2018/12/1,51274398.29,2018
1029,5916,002104.SZ,2018/9/21,1759325.6,2018
1041,1359,002104.SZ,2019/7/9,99019502.79,2019
1043,5944,002111.SZ,2018/9/15,6998325.12,2018
1055,1051,002111.SZ,2019/8/3,75594952.51,2019
1068,6902,002123.SZ,2017/9/1,11065098.65,2017
1072,6850,002123.SZ,2017/11/15,179969025.7,2017
1074,6834,002123.SZ,2017/12/15,16419365,2017
1087,6394,002123.SZ,2018/7/9,499914866.6,2018
1091,5702,002123.SZ,2018/10/13,14983551.5,2018
1106,921,002123.SZ,2019/8/16,106587519.9,2019
1108,4864,002126.SZ,2018/12/12,9770248.82,2018
1119,253,002126.SZ,2019/10/10,69972789.53,2019
1121,5467,002127.SZ,2018/11/3,6894628.8,2018
1132,409,002127.SZ,2019/10/9,151655831.5,2019
1135,4262,002132.SZ,2019/1/11,3585702,2019
1148,88,002132.SZ,2019/11/2,117922595.1,2019
1150,4797,002138.SZ,2018/12/19,43840,2018
1161,87,002138.SZ,2019/11/2,139834290.1,2019
1164,4796,002139.SZ,2018/12/19,4101632.5,2018
1172,2207,002139.SZ,2019/5/18,59999968.88,2019
1175,6399,002145.SZ,2018/7/7,2603879,2018
1184,4770,002145.SZ,2018/12/21,166296485.6,2018
1188,3127,002145.SZ,2019/3/23,6569579,2019
1200,86,002145.SZ,2019/11/2,265038136.2,2019
1202,6294,002148.SZ,2018/8/2,4118457.8,2018
1216,1324,002148.SZ,2019/7/18,60016094.49,2019
1218,5898,002152.SZ,2018/9/27,34399006.09,2018
1225,3195,002152.SZ,2019/3/12,120234547.6,2019
1227,1782,002156.SZ,2019/6/12,9978771,2019
